Holder,Common Stock Equivalent Held (actual),Percent of Common Shares Outstanding,Market Value ($M),Change in Shares (actual),Change (%),Position Date,Source,Portfolio Turnover Category,Portfolio Turnover (%),Investment Orientation,Equity Assets ($M),City,State,Country,Calculated Investment Style,Calculated Market Cap Emphasis,Owner Type,Funds,Derivatives Ex. 60 Days
Listed Funds Trust,"4,687",0.00,0.7,160,3.53,11/30/22,Aggregated Mutual Funds,,,Active    ,9.25,,,USA,Growth,Large Cap ,Traditional Investment Managers,1,
FFT Wealth Management LLC,"4,682",0.00,0.7,(848),(15.34),9/30/22,13F,Very Low  ,18.65,Active    ,25.99,New York,NY,USA,Growth,Large Cap ,Family Offices/Trusts,,
Riverwater Partners LLC,"4,681",0.00,0.7,(78),(1.64),12/31/22,13F,,,Active    ,92.08,Milwaukee,WI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Lowe Wealth Advisors LLC,"4,672",0.00,0.7,(321),(6.43),12/31/22,13F,Very Low  ,10.46,Active    ,11.68,Columbia,MD,USA,Blend,Large Cap ,Traditional Investment Managers,,
Ninepoint Partners LP,"4,668",0.00,0.7,262,5.95,9/30/22,13F,Moderate  ,61.61,Active    ,"1,636.65",Toronto,ON,Canada,GARP,Multi Cap ,Unclassified,1,
Hummer Financial Advisory Services Inc,"4,668",0.00,0.7,0,,12/31/22,13F,Very Low  ,3.70,Active    ,63.33,Chicago,IL,USA,Growth,Large Cap ,Family Offices/Trusts,,
Perkins Capital Management Inc.,"4,650",0.00,0.7,0,,12/31/22,13F,Low       ,26.98,Active    ,102.00,Wayzata,MN,USA,Growth,Small Cap ,Traditional Investment Managers,,
Luxcellence Management Company S.A.,"4,650",0.00,0.7,0,,6/30/22,Aggregated Mutual Funds,Moderate  ,53.29,Active    ,41.06,Luxembourg,,Luxembourg,Growth,Large Cap ,Traditional Investment Managers,1,
Raub Brock Capital Management LP,"4,646",0.00,0.7,0,,9/30/22,13F,Low       ,20.61,Active    ,444.56,Larkspur,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Argyle Capital Management Inc.,"4,636",0.00,0.7,0,,9/30/22,13F,Very Low  ,1.59,Active    ,293.21,Bethlehem,PA,USA,Value,Large Cap ,Traditional Investment Managers,,
LPWM LLC,"4,626",0.00,0.7,(209),(4.32),12/31/22,13F,Very Low  ,9.10,Active    ,7.76,Minneapolis,MN,USA,Blend,Large Cap ,Traditional Investment Managers,,
Cattolica Gestioni Previdenza,"4,622",0.00,0.7,0,,12/31/21,Aggregated Mutual Funds,Low       ,28.96,Active    ,20.15,Verona,,Italy,GARP,Large Cap ,Traditional Investment Managers,3,
Chico Wealth RIA Inc.,"4,616",0.00,0.7,"(40,000)",(89.65),12/31/22,13F,,,Active    ,5.19,Newport Beach,CA,USA,Growth,Multi Cap ,Family Offices/Trusts,,
HFG Advisors Inc.,"4,616",0.00,0.7,0,,12/31/22,13F,,,Active    ,15.69,Cincinnati,OH,USA,Value,Large Cap ,Traditional Investment Managers,,
Quantic Financial Solutions GmbH,"4,616",0.00,0.7,0,,9/30/21,Aggregated Mutual Funds,Moderate  ,68.85,Active    ,24.73,Vienna,,Austria,Growth,Large Cap ,Traditional Investment Managers,1,
Reston Wealth Management LLC,"4,608",0.00,0.7,"(1,660)",(26.48),9/30/22,13F,Very Low  ,16.34,Active    ,6.48,Reston,VA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Ridgewood Investments LLC,"4,590",0.00,0.7,71,1.57,12/31/22,13F,Low       ,33.66,Active    ,114.68,Springfield,NJ,USA,Blend,Large Cap ,Traditional Investment Managers,,
Boyd Wealth Management LLC,"4,586",0.00,0.7,141,3.17,12/31/22,13F,,,Active    ,5.07,Sacramento,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Schiavi & Co. LLC,"4,559",0.00,0.7,"4,559",,9/30/22,13F,,,Active    ,1.24,Wilmington,DE,USA,Growth,Large Cap ,Traditional Investment Managers,,
Cranbrook Wealth Management LLC,"4,556",0.00,0.7,(335),(6.85),9/30/22,13F,Very Low  ,8.87,Active    ,17.09,Bloomfield Hills,MI,USA,Blend,Large Cap ,Traditional Investment Managers,,
North Point Portfolio Managers Corp.,"4,553",0.00,0.7,(486),(9.65),12/31/22,13F,Very Low  ,7.80,Active    ,611.70,Orange,OH,USA,Growth,Large Cap ,Traditional Investment Managers,,
Punch & Associates Investment Management Inc.,"4,551",0.00,0.7,1,0.02,9/30/22,13F,Low       ,23.15,Active    ,"1,569.46",Edina,MN,USA,Growth,Small Cap ,Traditional Investment Managers,,
Manulife Investment Management(Japan) Ltd.,"4,518",0.00,0.6,0,,2/10/22,Aggregated Mutual Funds,Very Low  ,9.51,Active    ,208.49,Tokyo,,Japan,Growth,Large Cap ,Traditional Investment Managers,1,
UBS Switzerland AG,"4,501",0.00,0.6,(422),(8.57),9/30/22,Aggregated Mutual Funds,Low       ,29.52,Active    ,"2,346.77",Zurich,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,1,
Probus Middle East Ltd,"4,500",0.00,0.6,0,,12/31/21,Aggregated Mutual Funds,Low       ,45.33,Active    ,21.63,,,United Arab Emirates,Growth,Large Cap ,Banks/Investment Banks,1,
Banque Transatlantique Belgium SA,"4,500",0.00,0.6,0,,9/30/22,Aggregated Mutual Funds,Moderate  ,55.53,Active    ,28.14,Brussels,,Belgium,Growth,Large Cap ,Traditional Investment Managers,1,
Olympia Wealth Management Ltd,"4,500",0.00,0.6,0,,6/30/22,Aggregated Mutual Funds,Low       ,45.46,Active    ,35.09,,MI,Italy,Growth,Large Cap ,Traditional Investment Managers,1,
LABHA Investment Advisors SA,"4,500",0.00,0.6,0,,9/30/22,Aggregated Mutual Funds,,,Active    ,18.15,Zürich,,Switzerland,GARP,Large Cap ,Traditional Investment Managers,1,
Aquire Wealth Advisors LLC,"4,496",0.00,0.6,(33),(0.73),12/31/22,13F,,,Active    ,1.49,South Jordan,UT,USA,Growth,Large Cap ,Family Offices/Trusts,,
Gleason Group Inc.,"4,486",0.00,0.6,8,0.18,12/31/22,13F,Very Low  ,8.19,Active    ,44.49,Prospect,KY,USA,Blend,Large Cap ,Family Offices/Trusts,,
Fairbanks Capital Management Inc.,"4,476",0.00,0.6,120,2.76,9/30/22,13F,Very Low  ,11.82,Active    ,123.39,Rancho Santa Fe,CA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Phraction Management LLC,"4,473",0.00,0.6,(875),(16.36),9/30/22,13F,,,Active    ,130.00,Stamford,CT,USA,Growth,Large Cap ,Traditional Investment Managers,,
H.L. Ormond & Co. LLC,"4,455",0.00,0.6,"1,558",53.78,9/30/22,13F,,,Active    ,59.97,Greenville,NC,USA,Growth,Large Cap ,Family Offices/Trusts,,
Danda Trouvé Investment Management Inc.,"4,443",0.00,0.6,(112),(2.46),9/30/22,13F,Moderate  ,60.52,Active    ,8.56,Prairie Village,KS,USA,Growth,Large Cap ,Traditional Investment Managers,,
Contravisory Investment Management Inc.,"4,438",0.00,0.6,420,10.45,12/31/22,13F,Moderate  ,63.34,Active    ,348.46,Norwell,MA,USA,Blend,Large Cap ,Traditional Investment Managers,,
First Fiduciary Investment Counsel Inc.,"4,413",0.00,0.6,75,1.73,9/30/22,13F,Very Low  ,11.23,Active    ,452.14,Cleveland,OH,USA,Blend,Large Cap ,Traditional Investment Managers,,
Adirondack Retirement Specialists Inc.,"4,410",0.00,0.6,0,,9/30/22,13F,,,Active    ,121.05,Queensbury,NY,USA,Growth,Mid Cap   ,Family Offices/Trusts,,
Daniels + Tansey LLP,"4,403",0.00,0.6,757,20.76,9/30/22,13F,Low       ,24.74,Active    ,3.97,Wilmington,DE,USA,Blend,Large Cap ,Family Offices/Trusts,,
RBV GmbH,"4,400",0.00,0.6,0,,3/31/22,Aggregated Mutual Funds,Very Low  ,12.61,Active    ,39.58,Gronau,,Germany,Blend,Large Cap ,Traditional Investment Managers,3,
GS&P Kapitalanlagegesellschaft S.A.,"4,400",0.00,0.6,0,,12/31/21,Aggregated Mutual Funds,Very Low  ,15.21,Active    ,618.27,Luxembourg,,Luxembourg,GARP,Small Cap ,Traditional Investment Managers,1,
Financiere de l'Echiquier,"4,395",0.00,0.6,"(1,100)",(20.02),9/30/22,13F,Low       ,23.77,Active    ,"6,566.28",Paris,,France,Growth,Large Cap ,Traditional Investment Managers,,
Tury Invest GmbH,"4,375",0.00,0.6,0,,6/30/22,Aggregated Mutual Funds,Low       ,47.62,Active    ,10.32,Vienna,,Austria,Growth,Large Cap ,Traditional Investment Managers,3,
Virtus ETF Advisers LLC,"4,374",0.00,0.6,(148),(3.27),9/30/22,13F,Moderate  ,50.43,Active    ,772.29,New York,NY,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Eurobank Asset Management Mutual Fund Mngt Co. SA,"4,364",0.00,0.6,0,,6/30/22,Aggregated Mutual Funds,Low       ,26.93,Active    ,194.88,Athens,,Greece,GARP,Mid Cap   ,Traditional Investment Managers,4,
Cornerstone Wealth Advisors Inc.,"4,361",0.00,0.6,0,,12/31/22,13F,,,Active    ,5.96,Edina,MN,USA,Blend,Large Cap ,Family Offices/Trusts,,
Pachira Investments Inc.,"4,330",0.00,0.6,180,4.34,12/31/22,13F,Low       ,32.97,Active    ,7.26,Sherman Oaks,CA,USA,Blend,Large Cap ,Traditional Investment Managers,,
BancFirst Trust and Investment Management,"4,324",0.00,0.6,(812),(15.81),12/31/22,13F,,,Active    ,148.07,Oklahoma City,OK,USA,GARP,Mid Cap   ,Traditional Investment Managers,,
Volumetric Advisers Inc,"4,300",0.00,0.6,0,,12/31/22,Aggregated Mutual Funds,Low       ,39.25,Active    ,27.83,Pearl River,NY,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Gruss & Co Inc,"4,300",0.00,0.6,0,,9/30/22,13F,Moderate  ,73.75,Active    ,8.95,New York,NY,USA,GARP,Mid Cap   ,Hedge Fund Managers (<5% stake),,
Financial Advantage Inc.,"4,299",0.00,0.6,(636),(12.89),12/31/22,13F,Very Low  ,10.17,Active    ,88.93,Columbia,MD,USA,Blend,Large Cap ,Traditional Investment Managers,,
Leverty Financial Group LLC,"4,287",0.00,0.6,"1,034",31.79,12/31/22,13F,,,Active    ,7.92,Hudson,WI,USA,Blend,Large Cap ,Family Offices/Trusts,,
Merlin Capital LLC,"4,275",0.00,0.6,(59),(1.36),9/30/22,13F,,,Active    ,46.84,Boston,MA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Evergreen Advisors LLC,"4,274",0.00,0.6,108,2.59,9/30/22,13F,Very Low  ,5.20,,1.13,Chattanooga,TN,USA,Growth,Large Cap ,Family Offices/Trusts,,
Fairholme Capital Management LLC,"4,260",0.00,0.6,0,,9/30/22,13F,Very Low  ,7.28,Active    ,"1,468.24",South Miami,FL,USA,Aggressive Growth,Mid Cap   ,Hedge Fund Managers (<5% stake),,
Seabridge Wealth Management LLC,"4,256",0.00,0.6,0,,9/30/22,13F,,,Active    ,3.51,Saint Petersburg,FL,USA,Growth,Large Cap ,Traditional Investment Managers,,
Shapiro Capital Management LLC,"4,250",0.00,0.6,0,,9/30/22,13F,Low       ,40.46,Active    ,"4,049.29",Atlanta,GA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Guardian Wealth Advisors LLC,"4,232",0.00,0.6,0,,6/30/22,13F,,,Active    ,21.53,Bloomington,MN,USA,Blend,Large Cap ,Family Offices/Trusts,,
Kennon-Green & Co. LLC,"4,228",0.00,0.6,"4,228",,12/31/22,13F,,,,102.78,Newport Beach,CA,USA,Blend,Large Cap ,Family Offices/Trusts,,
Landscape Capital Management LLC,"4,203",0.00,0.6,0,,9/30/22,13F,High      ,190.96,Active    ,801.68,Englewood,NJ,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Davy Global Fund Management Ltd.,"4,202",0.00,0.6,(642),(13.25),9/30/22,13F,Low       ,28.82,Active    ,612.53,Dublin,,Ireland,Growth,Large Cap ,Traditional Investment Managers,1,
GN Invest AG,"4,200",0.00,0.6,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,6.29,Active    ,60.32,Vaduz,,Liechtenstein,Growth,Large Cap ,Traditional Investment Managers,1,
Global Asset Advisors & Management S.A.,"4,200",0.00,0.6,0,,11/30/22,Aggregated Mutual Funds,Low       ,29.34,Active    ,9.74,Schengen,,Luxembourg,GARP,Large Cap ,Traditional Investment Managers,1,
Tacita Capital Inc.,"4,197",0.00,0.6,0,,9/30/22,13F,,,Active    ,69.63,Toronto,ON,Canada,GARP,Large Cap ,Family Offices/Trusts,,
Boutique Collective Investments (Pty) Ltd.,"4,182",0.00,0.6,"4,182",,9/30/22,Aggregated Mutual Funds,Low       ,31.53,Active    ,164.73,Pretoria,,South Africa,Growth,Large Cap ,Traditional Investment Managers,1,
Madden Advisory Services Inc.,"4,179",0.00,0.6,3,0.07,9/30/22,13F,Very Low  ,18.44,Active    ,1.93,Jacksonville,FL,USA,Blend,Large Cap ,Traditional Investment Managers,,
Corrado Advisors LLC,"4,168",0.00,0.6,"(2,787)",(40.07),9/30/22,13F,Low       ,36.74,Active    ,67.59,New York,NY,USA,Value,Large Cap ,Family Offices/Trusts,,
CCB Principal Asset Management Co. Ltd.,"4,166",0.00,0.6,0,,12/31/21,Aggregated Mutual Funds,Low       ,40.57,Passive   ,"7,823.90",Beijing,,China,GARP,Multi Cap ,Traditional Investment Managers,1,
Aull & Monroe Investment Management Corp.,"4,157",0.00,0.6,0,,9/30/22,13F,Very Low  ,3.55,Active    ,198.62,Mobile,AL,USA,Blend,Large Cap ,Traditional Investment Managers,,
Tri-Star Advisors Inc.,"4,144",0.00,0.6,"(3,579)",(46.34),12/31/22,13F,Moderate  ,65.33,Active    ,6.02,Houston,TX,USA,Blend,Large Cap ,Family Offices/Trusts,,
Watchman Group Inc.,"4,144",0.00,0.6,176,4.44,9/30/22,13F,Low       ,31.28,Active    ,114.09,Plano,TX,USA,Growth,Large Cap ,Family Offices/Trusts,,
J2 Capital Management Inc.,"4,135",0.00,0.6,"4,135",,12/31/22,13F,,,Active    ,18.14,Troy,MI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Maryland Capital Advisors Inc.,"4,092",0.00,0.6,(109),(2.60),12/31/22,13F,,,Passive   ,7.02,Chester,MD,USA,Blend,Large Cap ,Traditional Investment Managers,,
CSOP Asset Management Ltd.,"4,078",0.00,0.6,"1,963",92.81,12/31/22,Aggregated Mutual Funds,Very Low  ,17.56,Passive   ,"3,430.21",Central,,Hong Kong,Growth,Large Cap ,Traditional Investment Managers,1,
Blueshift Asset Management LLC,"4,074",0.00,0.6,"4,074",,9/30/22,13F,Very High ,223.92,Active    ,519.52,Red Bank,NJ,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Beacon Wealthcare LLC,"4,061",0.00,0.6,50,1.25,9/30/22,13F,Very Low  ,4.83,Passive   ,0.84,Raleigh,NC,USA,Growth,Large Cap ,Traditional Investment Managers,,
Kalos Management Inc.,"4,057",0.00,0.6,"(9,990)",(71.12),9/30/22,13F,Low       ,41.93,Active    ,4.72,Alpharetta,GA,USA,Blend,Large Cap ,Family Offices/Trusts,,
Odey Asset Management LLP,"4,054",0.00,0.6,"4,054",,9/30/22,13F,Low       ,46.44,Active    ,"2,231.96",London,,United Kingdom,GARP,Multi Cap ,Hedge Fund Managers (<5% stake),1,
Long-Term Investing Research Ag - Institut Für Die Langfristige Kapitalanlage,"4,050",0.00,0.6,0,,12/31/21,Aggregated Mutual Funds,,0.00,Active    ,11.02,Karlsruhe,,Germany,Growth,Large Cap ,Traditional Investment Managers,1,
Verde Capital Management Inc.,"4,043",0.00,0.6,"4,043",,12/31/22,13F,Low       ,36.49,Active    ,27.19,Clarkston,MI,USA,Growth,Large Cap ,Traditional Investment Managers,,
Essential Planning LLC,"4,031",0.00,0.6,"4,031",,9/30/22,13F,,,Active    ,3.90,Portsmouth,NH,USA,Blend,Large Cap ,Traditional Investment Managers,,
Pvt. Wealth Group LLC,"4,027",0.00,0.6,(447),(9.99),9/30/22,13F,Very Low  ,15.00,Active    ,9.19,Tampa,FL,USA,Blend,Large Cap ,Traditional Investment Managers,,
Lake Point Wealth Management LLC,"4,025",0.00,0.6,0,,6/30/22,13F,,,Active    ,8.35,Heath,TX,USA,Blend,Large Cap ,Family Offices/Trusts,,
New England Professional Planning Group Inc.,"4,024",0.00,0.6,(627),(13.48),12/31/22,13F,Very Low  ,3.46,Active    ,13.59,Westerly,RI,USA,GARP,Large Cap ,Traditional Investment Managers,,
FTC Capital GmbH,"4,015",0.00,0.6,0,,3/31/22,Aggregated Mutual Funds,Moderate  ,63.84,Active    ,146.55,Vienna,,Austria,Blend,Large Cap ,Traditional Investment Managers,1,
Emika Strategic Advisory Ltd.,"4,000",0.00,0.6,0,,10/31/22,Aggregated Mutual Funds,Very Low  ,8.77,Active    ,14.73,,,Israel,Growth,Large Cap ,Traditional Investment Managers,1,
Wallrich Asset Management AG,"4,000",0.00,0.6,0,,9/30/21,Aggregated Mutual Funds,Low       ,23.81,Active    ,27.70,Frankfurt am Main,,Germany,Blend,Large Cap ,Traditional Investment Managers,1,
Uzès Gestion,"4,000",0.00,0.6,0,,12/30/22,Aggregated Mutual Funds,Low       ,40.26,Active    ,150.92,Paris,,France,Growth,Large Cap ,Traditional Investment Managers,1,
Banor Capital Ltd.,"4,000",0.00,0.6,"(1,000)",(20.00),9/30/22,Aggregated Mutual Funds,Moderate  ,63.44,Active    ,267.90,London,,United Kingdom,Growth,Large Cap ,Traditional Investment Managers,1,
IFAG Institutionelle Fondsleitung AG,"4,000",0.00,0.6,0,,12/31/21,Aggregated Mutual Funds,Very Low  ,15.88,Active    ,10.34,Vaduz,,Liechtenstein,Blend,Large Cap ,Traditional Investment Managers,1,
GLOGGER Vermögensverwaltung AG,"4,000",0.00,0.6,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,4.44,,20.23,Bendern,,Liechtenstein,Blend,Large Cap ,Traditional Investment Managers,1,
Savior LLC,"3,999",0.00,0.6,(44),(1.09),12/31/22,13F,Moderate  ,51.67,Active    ,24.63,Wellesley,MA,USA,Aggressive Growth,Large Cap ,Traditional Investment Managers,,
Keene & Associates Inc.,"3,996",0.00,0.6,(694),(14.80),9/30/22,13F,,,Active    ,112.35,Fort Worth,TX,USA,Value,Large Cap ,Family Offices/Trusts,,
Scott Capital Advisors LLC,"3,989",0.00,0.6,(46),(1.14),12/31/22,13F,,,Active    ,12.90,Portland,OR,USA,Growth,Large Cap ,Traditional Investment Managers,,
Horizon Financial Services LLC,"3,979",0.00,0.6,56,1.43,12/31/22,13F,Moderate  ,65.65,Active    ,3.47,Winston-Salem,NC,USA,Growth,Large Cap ,Family Offices/Trusts,,
Fusion Family Wealth LLC,"3,974",0.00,0.6,148,3.87,12/31/22,13F,Very Low  ,13.49,Active    ,1.42,Woodbury,NY,USA,Blend,Large Cap ,Family Offices/Trusts,,
Straight Path Wealth Management,"3,970",0.00,0.6,"2,200",124.29,12/31/22,13F,,,Active    ,35.51,Jenison,MI,USA,Aggressive Growth,Large Cap ,Family Offices/Trusts,,
Urquijo Gestion S.A. S.G.I.I.C.,"3,934",0.00,0.6,0,,9/30/22,13F,Moderate  ,84.76,Active    ,3.82,Madrid,,Spain,Growth,Large Cap ,Traditional Investment Managers,,
Sage Financial Management Group Inc.,"3,928",0.00,0.6,(555),(12.38),12/31/22,13F,Very Low  ,9.72,Active    ,2.90,McLean,VA,USA,Growth,Large Cap ,Traditional Investment Managers,,
Sightline Wealth Advisors LLC,"3,914",0.00,0.6,"2,284",140.12,12/31/22,13F,Low       ,26.29,Active    ,8.42,Groton,CT,USA,GARP,Multi Cap ,Traditional Investment Managers,,
Gunderson Capital Management,"3,909",0.00,0.6,"(23,527)",(85.75),9/30/22,13F,,,Active    ,33.59,,SC,USA,GARP,Large Cap ,Traditional Investment Managers,,
RFG Holdings Inc.,"3,903",0.00,0.6,227,6.18,12/31/22,13F,Low       ,48.86,Active    ,2.47,Argyle,TX,USA,Growth,Large Cap ,Family Offices/Trusts,,
Virtus Investment Advisers Inc.,"3,902",0.00,0.6,"(370,766)",(98.96),9/30/22,13F,Moderate  ,50.52,Active    ,"2,125.51",Hartford,CT,USA,Growth,Large Cap ,Traditional Investment Managers,3,
Carolina Wealth Advisors LLC,"3,894",0.00,0.6,(15),(0.38),12/31/22,13F,Low       ,28.18,Active    ,98.57,Myrtle Beach,SC,USA,GARP,Large Cap ,Traditional Investment Managers,,
Ironsides Asset Advisors LLC,"3,891",0.00,0.6,240,6.57,9/30/22,13F,Very Low  ,13.33,Active    ,121.12,Rocky Mount,NC,USA,Aggressive Growth,Large Cap ,Traditional Investment Managers,,
Wealth Enhancement and Preservation of GA LLC,"3,890",0.00,0.6,"(5,470)",(58.44),9/30/22,13F,High      ,127.15,Active    ,16.62,Alpharetta,GA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Acute Investment Advisory LLC,"3,869",0.00,0.6,"(7,463)",(65.86),12/31/22,13F,,,Active    ,1.68,Mesa,AZ,USA,Growth,Large Cap ,Corporations (Private),,
Silver Oak Advisory Group Inc.,"3,856",0.00,0.6,(69),(1.76),9/30/22,13F,,,Active    ,5.37,Portland,OR,USA,Growth,Large Cap ,Traditional Investment Managers,,
Lam Group Inc.,"3,846",0.00,0.5,"3,846",,12/31/22,13F,,,,7.83,Lake Oswego,OR,USA,Growth,Multi Cap ,Family Offices/Trusts,,
NFC Investments LLC,"3,817",0.00,0.5,(200),(4.98),9/30/22,13F,Very Low  ,15.49,Active    ,371.61,Memphis,TN,USA,GARP,Large Cap ,Traditional Investment Managers,,
Cook Wealth Management Group LLC,"3,814",0.00,0.5,1,0.03,9/30/22,13F,,,Active    ,43.97,Raleigh,NC,USA,Growth,Large Cap ,Family Offices/Trusts,,
Aquatic Capital Management LLC,"3,800",0.00,0.5,"3,800",,9/30/22,13F,,,Active    ,"1,201.70",Chicago,IL,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Ahead Wealth Solutions AG,"3,800",0.00,0.5,0,,6/28/22,Aggregated Mutual Funds,Very Low  ,13.77,Active    ,33.02,Vaduz,,Liechtenstein,Growth,Large Cap ,Traditional Investment Managers,1,
Night Owl Capital Management LLC,"3,797",0.00,0.5,0,,9/30/22,13F,Very Low  ,12.70,Active    ,261.81,Greenwich,CT,USA,Growth,Large Cap ,Hedge Fund Managers (<5% stake),,
Blossom Wealth Management LLC,"3,790",0.00,0.5,49,1.31,12/31/22,13F,Very Low  ,13.91,Active    ,10.01,San Ramon,CA,USA,Blend,Large Cap ,Traditional Investment Managers,,
Meixler Investment Management Ltd.,"3,768",0.00,0.5,301,8.68,9/30/22,13F,,,Active    ,81.17,Show Low,AZ,USA,Blend,Large Cap ,Traditional Investment Managers,,
TD Ameritrade Investment Management LLC,"3,757",0.00,0.5,(606),(13.89),9/30/22,13F,Very Low  ,13.71,Active    ,992.95,Omaha,NE,USA,Growth,Large Cap ,Traditional Investment Managers,,
Alquant AG,"3,754",0.00,0.5,0,,6/30/22,Aggregated Mutual Funds,,,Active    ,7.89,,,Switzerland,Growth,Large Cap ,Traditional Investment Managers,1,
Dynamic Technology Lab Pte Ltd,"3,751",0.00,0.5,"3,751",,9/30/22,13F,Very High ,257.76,Active    ,"1,163.24",Singapore,,Singapore,Growth,Multi Cap ,Traditional Investment Managers,,
Bao Capital Partners Ltd,"3,740",0.00,0.5,0,,6/30/22,Aggregated Mutual Funds,Very Low  ,18.46,,11.42,Nicosia,,Cyprus,Growth,Large Cap ,Traditional Investment Managers,2,
DFP Deutsche Finanz Portfolioverwaltung GmbH,"3,740",0.00,0.5,0,,6/30/22,Aggregated Mutual Funds,Low       ,42.58,Active    ,21.52,Nürnberg,,Germany,Growth,Large Cap ,Traditional Investment Managers,2,
Spectrum Planning & Advisory Services Inc.,"3,736",0.00,0.5,(32),(0.85),12/31/22,13F,Low       ,49.17,Active    ,5.46,San Diego,CA,USA,Growth,Large Cap ,Family Offices/Trusts,,
Quint: Essence Capital SA,"3,720",0.00,0.5,"(1,000)",(21.19),11/30/22,Aggregated Mutual Funds,Very Low  ,10.18,Passive   ,14.05,,,Luxembourg,GARP,Large Cap ,Traditional Investment Managers,1,
Citibank NA,"3,718",0.00,0.5,0,,12/31/21,Aggregated Mutual Funds,Very Low  ,4.41,Active    ,9.35,Sioux Falls,SD,USA,Growth,Large Cap ,Traditional Investment Managers,1,
Cadence Wealth Management LLC,"3,716",0.00,0.5,(78),(2.06),9/30/22,13F,,,Active    ,7.11,Westborough,MA,USA,Value,Large Cap ,Traditional Investment Managers,,
IronBridge Pvt. Wealth LLC,"3,701",0.00,0.5,(520),(12.32),9/30/22,13F,,,Active    ,33.21,Austin,TX,USA,Growth,Large Cap ,Family Offices/Trusts,,
Boyar Asset Management Inc,"3,696",0.00,0.5,0,,9/30/22,13F,Very Low  ,4.96,Active    ,142.00,New York,NY,USA,Blend,Large Cap ,Traditional Investment Managers,,
